Id,SalePrice
1,172931.177746587
2,143570.271381966
3,219615.040670861
4,165739.30459236
5,257510.863343337
6,183785.569718966
7,183301.668669271
8,178702.232653248
9,133613.7017653
10,207548.204851045
11,154650.790970057
12,115606.947625573
13,175223.136583431
14,165470.141333618
15,122876.064455018
16,170591.552675749
17,279438.267811574
18,218086.14502113
19,191974.714085867
20,191455.928309605
21,199492.310135115
22,181553.795646651
23,139689.745631014
24,142225.855862209
25,123234.527998031
26,274594.676620914
27,165287.484209952
28,145081.387255072
29,190992.697682199
30,204905.569070742
31,223112.071754485
32,124943.981796761
33,164345.22399525
34,146995.298114622
35,169652.370862849
36,187258.226221752
37,162817.261145357
38,179765.468205664
39,179937.73338107
40,161882.835932273
41,236461.289200278
42,111079.421200703
43,208742.980872466
44,234277.929056787
45,168143.907089168
46,229046.479977697
47,187601.341214963
48,162161.797062763
49,179908.291780423
50,160393.007905653
51,149950.735956307
52,179185.927337226
53,207055.030501278
54,122272.325334116
55,228116.951576529
56,123233.722159711
57,200999.724318341
58,175465.467947124
59,222614.273027936
60,129967.926646491
61,203230.092566973
62,157484.513316397
63,206319.079094332
64,148974.957075447
65,167209.533384722
66,224939.613190754
67,91632.9408782509
68,186342.685708053
69,150875.421761858
70,167739.818019417
71,124411.05875635
72,112447.647810964
73,164881.136988351
74,156306.942841645
75,162406.634338256
76,192692.699894744
77,211639.023073186
78,158900.550147674
79,162775.86341172
80,161957.051745309
81,198784.450816057
82,203032.786652429
83,206872.829812973
84,173580.243275337
85,185325.404521068
86,199413.056825291
87,173076.749948513
88,199906.878383459
89,125876.947628402
90,222304.909085392
91,66319.0030925688
92,173314.798321529
93,195355.36086143
94,204769.792996308
95,161048.389657063
96,169154.716787529
97,178679.407980354
98,165581.881406728
99,140436.634978439
100,193676.39873208
101,182884.058944292
102,148811.957315185
103,181504.462549592
104,149548.367509285
105,183390.081717545
106,221905.464528312
107,188997.5708399
108,189865.755492291
109,187120.329831686
110,215774.586020703
111,206272.406680338
112,164051.471365021
113,194300.618671506
114,184834.541864873
115,153897.451038182
116,161772.585309031
117,186205.557627954
118,215036.994527642
119,176394.459875413
120,115868.518273198
121,304535.954687203
122,160798.183587028
123,183431.658958781
124,164476.357447233
125,172018.915564857
126,169799.150736734
127,202812.883405618
128,181355.614525201
129,244933.309242023
130,115233.920047449
131,219100.395766521
132,240314.623681326
133,171698.747991866
134,182283.683207404
135,185511.321391178
136,134306.653164169
137,111093.015555358
138,207989.407870641
139,206458.927516978
140,204149.390314066
141,196451.482844327
142,194388.597034246
143,152872.690756085
144,184657.050391771
145,230971.114417778
146,171694.454518301
147,167130.820567817
148,211462.952534009
149,218148.058681083
150,183833.73795835
151,174922.5297958
152,155233.826128515
153,118838.71984897
154,186615.904325255
155,203769.052828433
156,300562.573311896
157,195468.71006878
158,156860.371368676
159,166668.147355576
160,143423.86488585
161,154161.216733448
162,195296.09080563
163,150231.555500895
164,190551.102148061
165,181411.707740858
166,238755.836481087
167,150559.585054685
168,212568.358456933
169,147658.723537459
170,141533.36675362
171,182959.143548569
172,178588.263901253
173,181692.763834861
174,154740.549581208
175,193118.52325501
176,264534.008204772
177,139206.799058539
178,186401.870042135
179,186023.418052632
180,176732.599667559
181,148739.514639776
182,136978.889423977
183,208778.496600333
184,180306.739306957
185,165359.794358861
186,169853.871034694
187,146714.435118482
188,163021.429914783
189,167602.932217974
190,164123.057136391
191,112905.02185601
192,172739.149053958
193,259215.632877968
194,133187.136872043
195,202472.436143826
196,134657.508605296
197,170104.574956783
198,142349.103264133
199,172259.459602343
200,174776.245874169
201,172283.212753682
202,153867.108838632
203,205032.415471635
204,192111.260241908
205,203542.398489997
206,136938.715676064
207,171809.303126923
208,143209.672176015
209,110613.885504298
210,149646.62702673
211,218403.445577347
212,164098.230084263
213,189979.274797792
